Crop,group,Hub,Country,Site,Processes,SAP Site ID,SiteID,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
cotton,Foundation and Commercial,Asia-Africa,South Africa,"Groblersdal: South Africa",,,7072,IS,IS,IS,HV,HV,,,,,,P,P,IS,IS,IS,HV,HV,,,,,,P,P,,,,
corn,commercial,Asia-Africa,South Africa,"Lichtenburg: South Africa",,,6917,IS,IS,IS,HV,HV,,,,,,P,P,IS,IS,IS,HV,HV,,,,,,P,P,,,,
corn,commercial,Asia-Africa,Indonesia,"Mojokerto: Indonesia",,,7796,,,P,P,IS,IS,IS,HV,HV,,,,,,P,P,IS,IS,IS,HV,HV,,,,,,,
corn,commercial,Asia-Africa,Thailand,"Phitsanulok: Thailand",,,8077,,,,P,P,IS,IS,IS,HV,HV,,,,,,P,P,IS,IS,IS,HV,HV,,,,,,
corn,Foundation and Commercial,Asia-Africa,India,"Shamirpet Mandal: India",,,7013,,,,,,P,P,IS,IS,IS,HV,HV,,,,,,P,P,IS,IS,IS,HV,HV,,,,
corn,commercial,Europe-Middle East,Turkey,"Mustafakemalpasa: Turkey",,,6223,,,,P,P,IS,IS,IS,HV,HV,HV,,,,,P,P,IS,IS,IS,HV,HV,HV,,,,,
corn,commercial,Europe-Middle East,Hungary,"Nagyigmand: Hungary",,,7390,,,,P,P,IS,IS,IS,HV,HV,HV,,,,,P,P,IS,IS,IS,HV,HV,HV,,,,,
corn,commercial,Europe-Middle East,France,"Peyrehorade: France",,,8080,,,,P,P,IS,IS,IS,HV,HV,HV,,,,,P,P,IS,IS,IS,HV,HV,HV,,,,,
corn,commercial,Europe-Middle East,Ukraine,"Pochuiky: Ukraine",,,TBD,,,,P,P,IS,IS,IS,HV,HV,HV,,,,,P,P,IS,IS,IS,HV,HV,HV,,,,,
corn,commercial,Europe-Middle East,Romania,"Sinesti: Romania",,,6091,,,,P,P,IS,IS,IS,HV,HV,HV,,,,,P,P,IS,IS,IS,HV,HV,HV,,,,,
corn,Foundation and Commercial,Europe-Middle East,France,"Trebes: France",,,7010,,,,P,P,IS,IS,IS,HV,HV,HV,,,,,P,P,IS,IS,IS,HV,HV,HV,,,,,
cotton,commercial,North America,USA,"Aiken: Texas",,,2348,,P,P,IS,IS,IS,HV,HV,,,,,,P,P,IS,IS,IS,HV,HV,,,,,,,,
soybean,commercial,North America,USA,"Ashton: Illinois",,,2502,,,,P,P,P,IS,IS,IS,HV,HV,,,,,P,P,P,IS,IS,IS,HV,HV,,,,,
